Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
01645G;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei kathetergestützten elektrophysiologischen Herzuntersuchungen und Ablationen am Herzen) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645H;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei Implantation eines Herzschrittmachers oder eines Defibrillators) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645I;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren vor einer geplanten Gallenblasenentfernung (Cholezystektomie)) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645J;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei Aufnahme von Eingriffen zum Hüftgelenkersatz) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645K;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei Aufnahme von Eingriffen an Aortenaneurysmen) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645L;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei Eingriffen bei lokal begrenztem und nicht metastasiertem Prostatakarzinom) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645M;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei Eingriffen zur Karotis-Revaskularisation) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645N;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (reserviert) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645O;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des G-BA zum Zweitmeinungsverfahren (reserviert) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01682V;Fallbesprechung Kinder- und Jugendschutz ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01700V;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 12 zugelassen sind, für bestimmte Auftragsleistungen im Abschnitt 1.7 ;K7;Im Rahmen der Mutterschaftsvorsorge erbrachte Leistungen;;;
01701V;Grundpauschale für Vertragsärzte aus nicht in der Gebührenordnungsposition 01700 aufgeführten Arztgruppen für bestimmte Auftragsleistungen im Abschnitt 1.7 ;K7;Im Rahmen der Mutterschaftsvorsorge erbrachte Leistungen;;;
01710B;Zusatzpauschale TSS-Terminvermittlung ;K77.5;Zusatzpauschale für TSS-Terminfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 der Allgemeinen Bestimmungen;;;
01710C;Zusatzpauschale TSS-Terminvermittlung ;K77.6;Zusatzpauschale für TSS-Terminfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 der Allgemeinen Bestimmungen;;;
01710D;Zusatzpauschale TSS-Terminvermittlung ;K77.7;Zusatzpauschale für TSS-Terminfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 der Allgemeinen Bestimmungen;;;
01737M;Ausgabe und Weiterleitung eines Stuhlprobenentnahmesystems ;K1;Früherkennungsuntersuchungen auf kolorektales Karzinom, die bei Männern erbracht werden;;;
01738M;Hämoglobin im Stuhl, immunologisch ;K1;Früherkennungsuntersuchungen auf kolorektales Karzinom, die bei Männern erbracht werden;;;
01740M;Beratung zur Früherkennung des kolorektalen Karzinoms ;K1;Früherkennungsuntersuchungen auf kolorektales Karzinom, die bei Männern erbracht werden;;;
01741M;Totale Früherkennungskoloskopie gem. Teil II § 3 der Richtlinie für organisierte Krebsfrüherkennungsprogramme (oKFE-RL) ;K1;Früherkennungsuntersuchungen auf kolorektales Karzinom, die bei Männern erbracht werden;;;
01742M;Zuschlag zu Nr. 01741 für Abtragung von Polypen ;K1;Früherkennungsuntersuchungen auf kolorektales Karzinom, die bei Männern erbracht werden;;;
01743M;Histologie bei Früherkennungskoloskopie ;K1;Früherkennungsuntersuchungen auf kolorektales Karzinom, die bei Männern erbracht werden;;;
01745K;Hautkrebs-Vorsorgeuntersuchung für Versicherte der Knappschaft bis zur Vollendung des 35. Lebensjahres ;K20;Vergütung für Leistungen, die gemäß Anlage zum Gesamtvertrag Knappschaft erbracht werden;Durchführung einer ambulanten Hautkrebs-Vorsorgeuntersuchung bis zur Vollendung des 35. Lebensjahres;;
01745M;Früherkennungsuntersuchung auf Hautkrebs ;K1.1;Früherkennungsuntersuchungen auf Hautkrebs, die bei Männern erbracht werden;;;
01746M;Zuschlag zur Gebührenordnungsposition 01732 für die Früherkennungsuntersuchung auf Hautkrebs ;K1.1;Früherkennungsuntersuchungen auf Hautkrebs, die bei Männern erbracht werden;;;
01789V;Beratung nach GenDG zum nichtinvasiven Pränataltest zur Bestimmung des Risikos autosomaler Trisomien 13, 18 und 21 gemäß § 3 Abs. 3b und Anlage VIII der Mutterschafts-Richtlinie ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01790V;Beratung nach GenDG bei Vorliegen eines positiven nichtinvasiven Pränataltests zur Bestimmung des Risikos autosomaler Trisomien 13, 18 und 21 gemäß § 3 Abs. 3b und Anlage VIII der Mutterschafts-Richtlinie ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01871M;Niedrigdosis-Computertomographie zur Früherkennung von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01872M;Niedrigdosis-Computertomographie zur Befundkontrolle von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01875M;Erstellung eines Berichts gemäß Abschnitt D. III. der Krebsfrüherkennungs-Richtlinie ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01876M;Erstberatung zur Teilnahme an der Früherkennung von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01878M;Veranlassung der konsiliarischen Zweitbefundung der Niedrigdosis-Computertomographie zur Früherkennung von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01879M;Konsiliarische Zweitbefundung der Niedrigdosis-Computertomographie zur Früherkennung von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01880M;Beratung bei abklärungsbedürftigem Befund im Rahmen der Früherkennung von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01880V;Beratung bei abklärungsbedürftigem Befund im Rahmen der Früherkennung von Lungenkrebs ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01880Y;Beratung bei abklärungsbedürftigem Befund im Rahmen der Früherkennung von Lungenkrebs ;K160;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01881M;Teilnahme an einer Konsensuskonferenz im Rahmen der Früherkennung von Lungenkrebs ;K159;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden;;;
01881V;Teilnahme an einer Konsensuskonferenz im Rahmen der Früherkennung von Lungenkrebs ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01881Y;Teilnahme an einer Konsensuskonferenz im Rahmen der Früherkennung von Lungenkrebs ;K160;Früherkennungsuntersuchungen auf Lungenkrebs, die bei Männern erbracht werden und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01941A;RSV-Prophylaxe ;K129;Abschlag durch die KV auf die GOP 01941, sofern die Berechnung der GOP 01943 zeitlich vor der Berechnung der GOP 01941 erfolgt;Punkte- und Prüfzeit-Abschlag gemäß zweiter Anmerkung zur GOP 01941;Punktezahl der Basis-GOP - 32,00;Prüfzeit der Basis-GOP - 2
01966A;Zuschlag zu einem Eingriff nach Abschnitt 31.2.4 oder 36.2.4 für Erfassung, Speicherung und Übermittlung von Daten bezüglich einer implantatbezogenen Maßnahme sowie Patienteninformation gemäß Implantateregistergesetz ;K149;Bewertungsminderung bei abgerechneter Gesamtpunktzahl von mehr als 762 Punkten je Praxis im Quartal (gem. erster Anmerkung zur GOP 01966);;Punktezahl der Basis-GOP - 80,00;
02100K;Infusion ;K90;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Kryokonservierung stehen oder Voraussetzung für die Durchführung einer Kryokonservierung sind.;;;
02100T;Infusion ;K83;Kennzeichnung der GOP 01510 bis 01512, 02100 und/oder 02101, die gemäß 4.4.2 Nr. 3 oder 4.5.1 Nr. 3 oder 4.5.3 Nr. 2 entgegen der Bestimmung im Anhang 1 neben der Versichertenpauschale berechnet werden können;;;
02100X;Infusion ;K2;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Künstlichen Befruchtung stehen oder Voraussetzung für die Durchführung einer Künstlichen Befruchtung sind. ;;Punktezahl der Basis-GOP x Faktor 0,5;
02101A;Infusion, Dauer mind. 60 Minuten ;K156;Behandlung mit Lecanemab gemäß der jeweils aktuell gültigen Fachinformation;;;
02101T;Infusion, Dauer mind. 60 Minuten ;K83;Kennzeichnung der GOP 01510 bis 01512, 02100 und/oder 02101, die gemäß 4.4.2 Nr. 3 oder 4.5.1 Nr. 3 oder 4.5.3 Nr. 2 entgegen der Bestimmung im Anhang 1 neben der Versichertenpauschale berechnet werden können;;;
02341K;Punktion II ;K90;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Kryokonservierung stehen oder Voraussetzung für die Durchführung einer Kryokonservierung sind.;;;
02341X;Punktion II ;K2;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Künstlichen Befruchtung stehen oder Voraussetzung für die Durchführung einer Künstlichen Befruchtung sind. ;;Punktezahl der Basis-GOP x Faktor 0,5;
02342A;Lumbalpunktion ;K157;Diagnostik einer Amyloid-Beta-Pathologie zur Indikationsstellung einer Therapie mit Lecanemab gemäß der jeweils aktuell gültigen Fachinformation;;;
02344A;Perkutane Biopsie ;K118;Kennzeichnung von Leistungen, bei denen die Berechnung im Zusammenhang mit einer Leistung außerhalb Anhang 1 Abschnitt 2 des Vertrages nach § 115b SGB V erfolgt (siehe Anmerkung GOP 02344/34290);;;
02510A;Wärmetherapie ;K6;Symbolnummern für in der Praxis erbrachte Bäder, Massagen und Krankengymnastik, für die keine Zuzahlung geleistet wurde (Minderjährige und Härtefälle);;;
02511A;Elektrotherapie ;K6;Symbolnummern für in der Praxis erbrachte Bäder, Massagen und Krankengymnastik, für die keine Zuzahlung geleistet wurde (Minderjährige und Härtefälle);;;
03000H;Versichertenpauschale ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;
03000R;Versichertenpauschale ;K16.1;Abweichung von der Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 1,225;
03000S;Versichertenpauschale ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,98;Prüfzeit der Basis-GOP x Faktor 0,98
03000V;Versichertenpauschale ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;Prüfzeit der Basis-GOP x Faktor 0,8
03000W;Versichertenpauschale ;K17.1;Leistungsberechnung für Auftragsleistungen entsprechend der Allgemeinen Bestimmung 2.1.6 sowie Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 i. V. m. 22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 0,6125;
03001H;bis zum vollendeten 4. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
03001R;bis zum vollendeten 4. Lebensjahr ;K16.1;Abweichung von der Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 1,225;Prüfzeit der Basis-GOP x Faktor 1,225
03001S;bis zum vollendeten 4. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,98;Prüfzeit der Basis-GOP x Faktor 0,98
03001V;bis zum vollendeten 4. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;Prüfzeit der Basis-GOP x Faktor 0,8
03001W;bis zum vollendeten 4. Lebensjahr ;K17.1;Leistungsberechnung für Auftragsleistungen entsprechend der Allgemeinen Bestimmung 2.1.6 sowie Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 i. V. m. 22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 0,6125;Prüfzeit der Basis-GOP x Faktor 0,6125
03002H;ab Beginn des 5. bis zum vollendeten 18. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
03002R;ab Beginn des 5. bis zum vollendeten 18. Lebensjahr ;K16.1;Abweichung von der Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 1,225;Prüfzeit der Basis-GOP x Faktor 1,225
03002S;ab Beginn des 5. bis zum vollendeten 18. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,98;Prüfzeit der Basis-GOP x Faktor 0,98
03002V;ab Beginn des 5. bis zum vollendeten 18. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;Prüfzeit der Basis-GOP x Faktor 0,8
03002W;ab Beginn des 5. bis zum vollendeten 18. Lebensjahr ;K17.1;Leistungsberechnung für Auftragsleistungen entsprechend der Allgemeinen Bestimmung 2.1.6 sowie Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 i. V. m. 22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 0,6125;Prüfzeit der Basis-GOP x Faktor 0,6125
03003H;ab Beginn des 19. bis zum vollendeten 54. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
03003R;ab Beginn des 19. bis zum vollendeten 54. Lebensjahr ;K16.1;Abweichung von der Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 1,225;Prüfzeit der Basis-GOP x Faktor 1,225
03003S;ab Beginn des 19. bis zum vollendeten 54. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,98;Prüfzeit der Basis-GOP x Faktor 0,98
03003V;ab Beginn des 19. bis zum vollendeten 54. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;Prüfzeit der Basis-GOP x Faktor 0,8
03003W;ab Beginn des 19. bis zum vollendeten 54. Lebensjahr ;K17.1;Leistungsberechnung für Auftragsleistungen entsprechend der Allgemeinen Bestimmung 2.1.6 sowie Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 i. V. m. 22,5 % Aufschlag gemäß Präambel 3.1 Nr. 8 bzw. Präambel 4.1 Nr. 11;Punktezahl der Basis-GOP x Faktor 0,6125;Prüfzeit der Basis-GOP x Faktor 0,6125
